-200.000 0.7274735 1.0166837 0.7124971
-199.960 0.7274705 1.0166831 0.7124407
-199.920 0.7274675 1.0166825 0.7123842
-199.880 0.7274646 1.0166819 0.7123277
-199.840 0.7274616 1.0166813 0.7122711
-199.800 0.7274586 1.0166806 0.7122143
-199.760 0.7274556 1.0166800 0.7121575
-199.720 0.7274526 1.0166793 0.7121006
-199.680 0.7274496 1.0166787 0.7120437
-199.640 0.7274466 1.0166780 0.7119866
-199.600 0.7274436 1.0166773 0.7119294
-199.560 0.7274405 1.0166765 0.7118722
-199.520 0.7274375 1.0166758 0.7118149
-199.480 0.7274345 1.0166751 0.7117575
-199.440 0.7274314 1.0166744 0.7117000
-199.400 0.7274284 1.0166737 0.7116425
-199.360 0.7274253 1.0166730 0.7115848
-199.320 0.7274223 1.0166723 0.7115271
-199.280 0.7274193 1.0166714 0.7114692
-199.240 0.7274162 1.0166707 0.7114113
-199.200 0.7274131 1.0166699 0.7113534
-199.160 0.7274100 1.0166692 0.7112953
-199.120 0.7274070 1.0166683 0.7112372
-199.080 0.7274039 1.0166675 0.7111789
-199.040 0.7274008 1.0166668 0.7111207
-199.000 0.7273977 1.0166659 0.7110622
-198.960 0.7273946 1.0166651 0.7110038
-198.920 0.7273915 1.0166643 0.7109452
-198.880 0.7273884 1.0166634 0.7108866
-198.840 0.7273853 1.0166626 0.7108278
-198.800 0.7273822 1.0166616 0.7107690
-198.760 0.7273790 1.0166608 0.7107101
-198.720 0.7273759 1.0166600 0.7106512
-198.680 0.7273728 1.0166590 0.7105921
-198.640 0.7273697 1.0166581 0.7105329
-198.600 0.7273665 1.0166572 0.7104737
-198.560 0.7273633 1.0166563 0.7104144
-198.520 0.7273602 1.0166553 0.7103550
-198.480 0.7273570 1.0166544 0.7102955
-198.440 0.7273539 1.0166535 0.7102360
-198.400 0.7273507 1.0166526 0.7101764
-198.360 0.7273476 1.0166515 0.7101166
-198.320 0.7273443 1.0166506 0.7100568
-198.280 0.7273412 1.0166496 0.7099970
-198.240 0.7273380 1.0166487 0.7099370
-198.200 0.7273348 1.0166476 0.7098769
-198.160 0.7273316 1.0166466 0.7098169
-198.120 0.7273284 1.0166456 0.7097566
-198.080 0.7273252 1.0166446 0.7096964
-198.040 0.7273220 1.0166435 0.7096360
-198.000 0.7273188 1.0166425 0.7095756
-197.960 0.7273155 1.0166414 0.7095150
-197.920 0.7273123 1.0166403 0.7094544
-197.880 0.7273091 1.0166392 0.7093937
-197.840 0.7273058 1.0166382 0.7093329
-197.800 0.7273026 1.0166371 0.7092721
-197.760 0.7272993 1.0166360 0.7092112
-197.720 0.7272961 1.0166348 0.7091501
-197.680 0.7272928 1.0166337 0.7090891
-197.640 0.7272896 1.0166327 0.7090279
-197.600 0.7272863 1.0166315 0.7089666
-197.560 0.7272831 1.0166303 0.7089052
-197.520 0.7272798 1.0166292 0.7088439
-197.480 0.7272765 1.0166280 0.7087823
-197.440 0.7272732 1.0166268 0.7087208
-197.400 0.7272699 1.0166256 0.7086591
